id,dob,age,gender,relationship,citizenship,ethnicity,marital_status,education_current,education_level,school_type,literacy_en,literacy_my,literacy_cn,literacy_tm,income_personal,income_household,income_other,income_total
P31,15/06/1978,45,M,Head,Malaysian,Malay,Married,No,College,National_Sec,Yes,Yes,No,No,8800,2800,500,12100
P32,22/09/1979,44,F,Spouse,Malaysian,Malay,Married,No,College,National_Sec,Yes,Yes,No,No,7200,2800,0,10000
P33,14/07/2009,14,F,Child,Malaysian,Malay,Single,Yes,Secondary,National_Sec,Yes,Yes,No,No,0,0,0,0
P34,09/11/1952,71,M,Grandparent,Malaysian,Chinese,Widowed,No,Primary,Chinese_Pri,No,No,Yes,No,0,2200,1500,3700
P35,28/04/1994,29,F,Single,Malaysian,Others,Single,No,University,National_Sec,Yes,Yes,No,No,4200,0,0,4200
P36,17/08/1973,50,M,Head,Malaysian,Malay,Married,No,Secondary,National_Sec,Yes,Yes,No,No,9500,3000,1000,13500
P37,05/10/1974,49,F,Spouse,Malaysian,Malay,Married,No,Secondary,National_Sec,Yes,Yes,No,No,5500,3000,0,8500
P38,20/02/2006,17,M,Child,Malaysian,Malay,Single,Yes,Secondary,National_Sec,Yes,Yes,No,No,0,0,0,0
P39,13/05/1967,56,F,Head,Malaysian,Indian,Divorced,No,College,National_Sec,Yes,Yes,No,Yes,7800,0,1000,8800
P40,25/12/2011,12,F,Child,Malaysian,Indian,Single,Yes,Primary,National_Pri,Yes,Yes,No,Yes,0,0,0,0
P41,31/07/1991,32,M,Single,Malaysian,Chinese,Single,No,University,Chinese_Sec,Yes,Yes,Yes,No,5500,0,0,5500
P42,08/03/1963,60,F,Head,Malaysian,Malay,Widowed,No,Secondary,National_Sec,No,Yes,No,No,0,2500,2000,4500
P43,26/01/1997,26,M,Single,Malaysian,Others,Single,No,College,National_Sec,Yes,Yes,No,No,3500,0,0,3500
P44,02/10/1986,37,F,Head,Malaysian,Malay,Divorced,No,University,National_Sec,Yes,Yes,No,No,8200,0,500,8700
P45,15/08/2014,9,M,Child,Malaysian,Malay,Single,Yes,Primary,National_Pri,Yes,Yes,No,No,0,0,0,0
P46,29/06/1958,65,M,Head,Malaysian,Chinese,Married,No,Secondary,Chinese_Sec,Yes,No,Yes,No,2200,2300,1500,6000
P47,11/09/1959,64,F,Spouse,Malaysian,Chinese,Married,No,Secondary,Chinese_Sec,No,No,Yes,No,0,2300,1000,3300
P48,05/04/2007,16,F,Child,Malaysian,Malay,Single,Yes,Secondary,National_Sec,Yes,Yes,No,No,0,0,0,0
P49,18/12/1977,46,M,Head,Malaysian,Others,Married,No,University,National_Sec,Yes,Yes,No,No,10500,3200,0,13700
P50,09/02/1981,42,F,Spouse,Malaysian,Others,Married,No,College,National_Sec,Yes,Yes,No,No,6800,3200,0,10000
